day	habitat	location	ID	status	time	timeday			
8/18/2023	urban 	ciudad del saber	saber1.2	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.2	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.2	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.2	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.2	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.2	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.2	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.2	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.3	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.3	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.3	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.3	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.3	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.3	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.3	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.3	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.3	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.3	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.4	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.4	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.4	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.4	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.4	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.4	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.4	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.4	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.4	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.4	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.5	1	105	morning			
8/18/2023	urban 	ciudad del saber	saber1.5	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.5	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.5	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.5	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.5	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.5	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.5	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.5	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.5	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.6	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.6	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.6	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.6	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.6	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.6	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.6	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.6	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.6	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.6	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.7	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.7	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.7	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.7	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.7	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.7	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.7	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.7	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.7	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.7	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.8	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.8	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.8	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.8	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.8	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.8	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.8	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.8	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.8	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.8	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.9	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.9	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.9	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.9	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.9	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.9	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.9	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.9	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.9	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.9	0	120	morning			
8/18/2023	urban 	ciudad del saber	saber1.10	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.10	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.10	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.10	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.10	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.10	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.10	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.10	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.10	0	120	midday			
8/18/2023	urban 	ciudad del saber	saber1.10	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.1	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.1	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.1	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.1	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.1	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.1	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.1	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.1	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.1	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.1	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.2	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.2	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.2	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.2	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.2	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.2	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.2	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.2	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.2	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.2	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.3	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.3	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.3	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.3	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.3	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.3	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.3	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.3	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.3	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.3	0	120	morning			
8/30/2023	urban 	ciudad del saber	saber2.4	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.4	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.4	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.4	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.4	0	120	midday			
8/30/2023	urban 	ciudad del saber	saber2.4	0	120	midday			
